domain,month,desktop,mobile_web,mobile_app,total
as.wikipedia.org,2018-06,206435,332291,5098,543824
as.wikipedia.org,2018-07,292974,336054,6717,635745
as.wikipedia.org,2018-08,232060,415601,6326,653987
as.wikipedia.org,2018-09,190290,349937,6462,546689
as.wikipedia.org,2018-10,194795,348119,5650,548564
as.wikipedia.org,2018-11,362105,370959,6418,739482
as.wikipedia.org,2018-12,268149,280615,5493,554257
as.wikipedia.org,2019-01,275763,254812,5048,535623
as.wikipedia.org,2019-02,262350,259352,4111,525813
as.wikipedia.org,2019-03,258685,337331,5305,601321
as.wikipedia.org,2019-04,325715,302224,6391,634330
as.wikipedia.org,2019-05,224919,327280,5167,557366
as.wikipedia.org,2019-06,242622,341953,5066,589641
as.wikipedia.org,2019-07,287776,303651,5421,596848
as.wikipedia.org,2019-08,334897,379559,6356,720812
as.wikipedia.org,2019-09,271215,544108,9211,824534
as.wikipedia.org,2019-10,244657,600655,8507,853819
as.wikipedia.org,2019-11,255442,719835,9224,984501
as.wikipedia.org,2019-12,135790,347495,5216,488501
as.wikipedia.org,2020-01,179013,406452,8079,593544
as.wikipedia.org,2020-02,194776,385955,6461,587192
as.wikipedia.org,2020-03,195030,360641,5806,561477
as.wikipedia.org,2020-04,343648,465719,7137,816504
as.wikipedia.org,2020-05,221775,430994,7177,659946
as.wikipedia.org,2020-06,162376,360861,2738,525975
as.wikipedia.org,2020-07,154479,428826,6888,590193
as.wikipedia.org,2020-08,155176,515390,5897,676463
as.wikipedia.org,2020-09,177592,427048,17583,622223
as.wikipedia.org,2020-10,160659,440044,13604,614307
as.wikipedia.org,2020-11,119583,402280,11184,533047
as.wikipedia.org,2020-12,144154,483872,10196,638222
as.wikipedia.org,2021-01,132386,582414,10782,725582
as.wikipedia.org,2021-02,163296,634071,11092,808459
as.wikipedia.org,2021-03,163373,606139,9590,779102
as.wikipedia.org,2021-04,157026,411198,8328,576552
as.wikipedia.org,2021-05,155695,474210,9653,639558
as.wikipedia.org,2021-06,169766,594712,11114,775592
as.wikipedia.org,2021-07,146592,645197,10263,802052
as.wikipedia.org,2021-08,216369,1205963,14093,1436425
as.wikipedia.org,2021-09,173619,1122701,13772,1310092
as.wikipedia.org,2021-10,132329,915219,12431,1059979
as.wikipedia.org,2021-11,137252,881931,9797,1028980
as.wikipedia.org,2021-12,138280,1038960,11679,1188919
as.wikipedia.org,2022-01,190853,795834,10575,997262
as.wikipedia.org,2022-02,202605,915156,10774,1128535
as.wikipedia.org,2022-03,180246,792730,8909,981885
as.wikipedia.org,2022-04,165438,598848,8298,772584
as.wikipedia.org,2022-05,174304,860212,10848,1045364
as.wikipedia.org,2022-06,212537,935574,9346,1157457
as.wikipedia.org,2022-07,178375,957500,9639,1145514
as.wikipedia.org,2022-08,165793,1166962,10636,1343391
as.wikipedia.org,2022-09,205854,994609,9675,1210138
as.wikipedia.org,2022-10,179262,973180,10316,1162758
as.wikipedia.org,2022-11,190870,2193225,14706,2398801
as.wikipedia.org,2022-12,167685,1035076,8965,1211726
as.wikipedia.org,2023-01,204854,1055936,9733,1270523
as.wikipedia.org,2023-02,174179,1065446,7849,1247474
as.wikipedia.org,2023-03,222661,948780,7100,1178541
as.wikipedia.org,2023-04,179106,777053,6418,962577
as.wikipedia.org,2023-05,184188,964885,7909,1156982
as.wikipedia.org,2023-06,273344,1106702,7959,1388005
as.wikipedia.org,2023-07,242433,1186903,8488,1437824
as.wikipedia.org,2023-08,212289,1224671,7887,1444847
as.wikipedia.org,2023-09,201470,1204433,7875,1413778
as.wikipedia.org,2023-10,217493,1496052,8248,1721793
as.wikipedia.org,2023-11,264460,1453550,9247,1727257
as.wikipedia.org,2023-12,254953,1691780,10587,1957320
as.wikipedia.org,2024-01,254185,1294501,10226,1558912
as.wikipedia.org,2024-02,185884,1278897,8908,1473689
as.wikipedia.org,2024-03,206298,1073745,8814,1288857
as.wikipedia.org,2024-04,188648,1138330,8912,1335890
as.wikipedia.org,2024-05,201250,1169737,8559,1379546
as.wikipedia.org,2024-06,189545,1340848,7466,1537859
