month,target_lang,translations
2023-11,anp,1
2023-11,as,52
2023-11,awa,1
2023-11,bn,992
2023-11,dv,1
2023-11,gom,2
2023-11,gu,4
2023-11,hi,145
2023-11,kn,182
2023-11,ks,25
2023-11,mai,2
2023-11,ml,78
2023-11,mr,134
2023-11,ne,31
2023-11,new,1
2023-11,or,7
2023-11,pa,80
2023-11,sa,3
2023-11,sat,20
2023-11,si,42
2023-11,ta,1520
2023-11,tcy,2
2023-11,te,593
2023-11,ur,1270
2023-12,as,66
2023-12,bn,720
2023-12,gom,2
2023-12,gu,8
2023-12,hi,206
2023-12,kn,50
2023-12,ks,30
2023-12,mai,7
2023-12,ml,79
2023-12,mni,1
2023-12,mr,177
2023-12,ne,27
2023-12,or,10
2023-12,pa,90
2023-12,sa,8
2023-12,sat,33
2023-12,si,105
2023-12,ta,517
2023-12,tcy,2
2023-12,te,445
2023-12,ur,1296
2024-01,as,27
2024-01,bn,907
2024-01,gu,9
2024-01,hi,184
2024-01,kn,167
2024-01,ks,32
2024-01,mai,3
2024-01,ml,101
2024-01,mni,5
2024-01,mr,119
2024-01,ne,34
2024-01,or,71
2024-01,pa,122
2024-01,pnb,2
2024-01,sa,5
2024-01,sat,42
2024-01,si,42
2024-01,ta,611
2024-01,tcy,1
2024-01,te,380
2024-01,ur,1055
2024-02,as,19
2024-02,bn,1110
2024-02,gu,21
2024-02,hi,142
2024-02,kn,236
2024-02,ks,45
2024-02,mai,3
2024-02,ml,41
2024-02,mni,1
2024-02,mr,99
2024-02,ne,20
2024-02,new,1
2024-02,or,112
2024-02,pa,330
2024-02,pnb,1
2024-02,sa,2
2024-02,sat,436
2024-02,sd,163
2024-02,si,79
2024-02,ta,841
2024-02,te,1118
2024-02,ur,1339
2024-03,as,33
2024-03,bn,1824
2024-03,dty,29
2024-03,gu,15
2024-03,hi,125
2024-03,kn,205
2024-03,ks,126
2024-03,mai,1
2024-03,ml,51
2024-03,mni,2
2024-03,mr,135
2024-03,ne,24
2024-03,new,2
2024-03,or,119
2024-03,pa,1668
2024-03,pnb,2
2024-03,sa,8
2024-03,sat,63
2024-03,sd,595
2024-03,si,24
2024-03,ta,622
2024-03,te,526
2024-03,ur,1555
2024-04,as,15
2024-04,bn,1049
2024-04,dty,6
2024-04,gu,4
2024-04,hi,117
2024-04,kn,161
2024-04,ks,209
2024-04,mai,1
2024-04,ml,114
2024-04,mr,322
2024-04,ne,27
2024-04,new,29
2024-04,or,106
2024-04,pa,86
2024-04,sa,2
2024-04,sat,58
2024-04,sd,225
2024-04,si,61
2024-04,ta,324
2024-04,te,574
2024-04,ur,455
2024-05,as,4
2024-05,bn,921
2024-05,dv,1
2024-05,gu,5
2024-05,hi,136
2024-05,kn,117
2024-05,ks,127
2024-05,mai,2
2024-05,ml,75
2024-05,mni,3
2024-05,mr,173
2024-05,ne,14
2024-05,new,19
2024-05,or,117
2024-05,pa,74
2024-05,sat,15
2024-05,sd,160
2024-05,si,55
2024-05,ta,324
2024-05,te,676
2024-05,ur,678
2024-06,as,6
2024-06,bn,669
2024-06,gom,1
2024-06,gu,6
2024-06,hi,128
2024-06,kn,117
2024-06,ks,116
2024-06,ml,49
2024-06,mni,1
2024-06,mr,56
2024-06,ne,14
2024-06,new,1
2024-06,or,83
2024-06,pa,109
2024-06,sa,5
2024-06,sat,25
2024-06,sd,134
2024-06,si,55
2024-06,ta,379
2024-06,te,618
2024-06,ur,661
2024-07,anp,1
2024-07,as,38
2024-07,awa,1
2024-07,bn,1145
2024-07,dv,2
2024-07,gu,7
2024-07,hi,255
2024-07,kn,81
2024-07,ks,37
2024-07,mai,6
2024-07,ml,29
2024-07,mni,1
2024-07,mr,72
2024-07,ne,33
2024-07,new,1
2024-07,or,55
2024-07,pa,171
2024-07,sa,1
2024-07,sat,14
2024-07,sd,104
2024-07,si,30
2024-07,ta,345
2024-07,te,1028
2024-07,ur,634
2024-08,anp,2
2024-08,as,26
2024-08,awa,3
2024-08,bn,1090
2024-08,bpy,2
2024-08,dty,2
2024-08,dv,3
2024-08,gom,2
2024-08,gu,7
2024-08,hi,121
2024-08,kn,18
2024-08,ks,73
2024-08,mai,5
2024-08,ml,58
2024-08,mni,3
2024-08,mr,278
2024-08,ne,57
2024-08,new,2
2024-08,or,33
2024-08,pa,72
2024-08,pi,2
2024-08,sa,3
2024-08,sat,5
2024-08,sd,75
2024-08,si,31
2024-08,ta,311
2024-08,tcy,5
2024-08,te,529
2024-08,ur,1023
2024-09,as,13
2024-09,awa,1
2024-09,bn,846
2024-09,gu,1
2024-09,hi,82
2024-09,kn,34
2024-09,ks,99
2024-09,mai,2
2024-09,ml,29
2024-09,mni,9
2024-09,mr,232
2024-09,ne,22
2024-09,or,3
2024-09,pa,51
2024-09,pnb,1
2024-09,sa,1
2024-09,sat,12
2024-09,sd,19
2024-09,si,38
2024-09,ta,358
2024-09,tcy,8
2024-09,te,441
2024-09,ur,1302
2024-10,as,60
2024-10,bn,476
2024-10,dv,1
2024-10,gom,1
2024-10,gu,5
2024-10,hi,88
2024-10,kn,12
2024-10,ks,168
2024-10,ml,47
2024-10,mni,5
2024-10,mr,175
2024-10,ne,29
2024-10,or,1
2024-10,pa,62
2024-10,pnb,4
2024-10,sa,1
2024-10,sat,11
2024-10,sd,123
2024-10,si,96
2024-10,ta,559
2024-10,tcy,9
2024-10,te,209
2024-10,ur,1259
2024-11,as,71
2024-11,bn,516
2024-11,gu,6
2024-11,hi,111
2024-11,kn,20
2024-11,ks,73
2024-11,mai,1
2024-11,ml,40
2024-11,mni,2
2024-11,mr,162
2024-11,ne,25
2024-11,new,3
2024-11,or,4
2024-11,pa,127
2024-11,pnb,1
2024-11,sa,2
2024-11,sat,4
2024-11,sd,114
2024-11,si,108
2024-11,ta,434
2024-11,tcy,6
2024-11,te,275
2024-11,ur,1021
2024-12,as,52
2024-12,awa,3
2024-12,bn,607
2024-12,dty,1
2024-12,gu,3
2024-12,hi,107
2024-12,kn,111
2024-12,ks,94
2024-12,mai,8
2024-12,ml,30
2024-12,mni,3
2024-12,mr,149
2024-12,ne,31
2024-12,or,3
2024-12,pa,545
2024-12,pnb,1
2024-12,sa,47
2024-12,sat,1
2024-12,sd,47
2024-12,si,59
2024-12,ta,499
2024-12,tcy,5
2024-12,te,285
2024-12,ur,912
2025-01,anp,4
2025-01,as,32
2025-01,bn,475
2025-01,gu,6
2025-01,hi,120
2025-01,kn,21
2025-01,ks,102
2025-01,mai,1
2025-01,ml,14
2025-01,mni,2
2025-01,mr,122
2025-01,ne,72
2025-01,or,4
2025-01,pa,283
2025-01,sa,4
2025-01,sat,5
2025-01,sd,97
2025-01,si,111
2025-01,ta,367
2025-01,tcy,6
2025-01,te,298
2025-01,ur,673
2025-02,anp,1
2025-02,as,419
2025-02,awa,5
2025-02,bn,1449
2025-02,dv,1
2025-02,gu,16
2025-02,hi,148
2025-02,kn,89
2025-02,ks,128
2025-02,mai,1
2025-02,ml,12
2025-02,mni,4
2025-02,mr,86
2025-02,ne,22
2025-02,or,10
2025-02,pa,268
2025-02,pnb,1
2025-02,sa,3
2025-02,sat,15
2025-02,sd,15
2025-02,si,83
2025-02,ta,500
2025-02,tcy,17
2025-02,te,1820
2025-02,ur,739
2025-03,as,195
2025-03,awa,4
2025-03,bn,2130
2025-03,dv,2
2025-03,gu,42
2025-03,hi,272
2025-03,kn,34
2025-03,ks,238
2025-03,mai,1
2025-03,ml,71
2025-03,mni,11
2025-03,mr,159
2025-03,ne,39
2025-03,new,71
2025-03,or,1
2025-03,pa,1847
2025-03,pnb,6
2025-03,sa,4
2025-03,sat,8
2025-03,sd,63
2025-03,si,91
2025-03,ta,643
2025-03,tcy,39
2025-03,te,4510
2025-03,ur,1214
2025-04,as,32
2025-04,awa,3
2025-04,bn,1199
2025-04,dty,1
2025-04,dv,1
2025-04,gu,19
2025-04,hi,258
2025-04,kn,49
2025-04,ks,191
2025-04,mai,2
2025-04,ml,33
2025-04,mni,2
2025-04,mr,191
2025-04,ne,35
2025-04,new,153
2025-04,or,2
2025-04,pa,155
2025-04,pnb,8
2025-04,sa,3
2025-04,sat,1
2025-04,sd,57
2025-04,si,60
2025-04,ta,329
2025-04,tcy,22
2025-04,te,718
2025-04,ur,1220
2025-05,as,23
2025-05,bn,749
2025-05,dv,1
2025-05,gu,11
2025-05,hi,254
2025-05,kn,20
2025-05,ks,147
2025-05,mai,1
2025-05,ml,24
2025-05,mni,3
2025-05,mr,95
2025-05,ne,29
2025-05,new,37
2025-05,or,2
2025-05,pa,166
2025-05,pnb,41
2025-05,sa,2
2025-05,sat,2
2025-05,sd,16
2025-05,si,156
2025-05,ta,326
2025-05,te,567
2025-05,ur,1662
2025-06,as,21
2025-06,bn,1289
2025-06,bpy,3
2025-06,dty,1
2025-06,dv,3
2025-06,gu,5
2025-06,hi,269
2025-06,kn,8
2025-06,ks,103
2025-06,ml,32
2025-06,mni,2
2025-06,mr,170
2025-06,ne,6
2025-06,new,26
2025-06,or,3
2025-06,pa,139
2025-06,pnb,10
2025-06,sa,3
2025-06,sat,1
2025-06,sd,24
2025-06,si,267
2025-06,ta,170
2025-06,tcy,2
2025-06,te,471
2025-06,ur,1955
2025-07,as,30
2025-07,bn,799
2025-07,bpy,1
2025-07,dty,1
2025-07,gu,10
2025-07,hi,197
2025-07,kn,4
2025-07,ks,180
2025-07,mai,2
2025-07,ml,36
2025-07,mni,2
2025-07,mr,228
2025-07,ne,12
2025-07,new,61
2025-07,or,2
2025-07,pa,71
2025-07,pnb,1
2025-07,sa,3
2025-07,sat,2
2025-07,sd,29
2025-07,si,315
2025-07,ta,182
2025-07,tcy,1
2025-07,te,313
2025-07,ur,1183
2025-08,as,6
2025-08,bn,715
2025-08,bpy,1
2025-08,gu,10
2025-08,hi,269
2025-08,kn,19
2025-08,ks,271
2025-08,mai,2
2025-08,ml,44
2025-08,mni,4
2025-08,mr,181
2025-08,ne,10
2025-08,new,14
2025-08,or,8
2025-08,pa,103
2025-08,pnb,14
2025-08,sa,13
2025-08,sat,5
2025-08,sd,16
2025-08,si,20
2025-08,ta,116
2025-08,tcy,6
2025-08,te,304
2025-08,ur,914
2025-09,as,13
2025-09,awa,2
2025-09,bn,363
2025-09,dty,2
2025-09,dv,1
2025-09,gom,2
2025-09,gu,7
2025-09,hi,312
2025-09,kn,4
2025-09,ks,197
2025-09,ml,36
2025-09,mni,5
2025-09,mr,209
2025-09,ne,12
2025-09,new,3
2025-09,or,19
2025-09,pa,107
2025-09,pnb,6
2025-09,sa,51
2025-09,sat,24
2025-09,sd,33
2025-09,si,242
2025-09,ta,230
2025-09,tcy,2
2025-09,te,243
2025-09,ur,866
2025-10,anp,24
2025-10,as,19
2025-10,awa,1
2025-10,bn,311
2025-10,gom,1
2025-10,gu,17
2025-10,hi,289
2025-10,kn,15
2025-10,ks,241
2025-10,mai,1
2025-10,ml,25
2025-10,mni,1
2025-10,mr,30
2025-10,ne,14
2025-10,new,27
2025-10,or,6
2025-10,pa,104
2025-10,pnb,3
2025-10,sa,12
2025-10,sat,7
2025-10,sd,55
2025-10,si,90
2025-10,ta,198
2025-10,tcy,5
2025-10,te,266
2025-10,ur,1084
2025-11,anp,14
2025-11,as,28
2025-11,awa,1
2025-11,bn,378
2025-11,gom,1
2025-11,gu,21
2025-11,hi,98
2025-11,kn,35
2025-11,ks,214
2025-11,mai,2
2025-11,ml,60
2025-11,mni,2
2025-11,mr,83
2025-11,ne,12
2025-11,new,72
2025-11,pa,96
2025-11,pnb,11
2025-11,sa,6
2025-11,sat,34
2025-11,sd,66
2025-11,si,166
2025-11,ta,133
2025-11,tcy,1
2025-11,te,212
2025-11,ur,922
2025-12,as,31
2025-12,awa,1
2025-12,bn,730
2025-12,gu,13
2025-12,hi,148
2025-12,kn,42
2025-12,ks,152
2025-12,mai,1
2025-12,ml,58
2025-12,mni,5
2025-12,mr,105
2025-12,ne,7
2025-12,new,45
2025-12,pa,148
2025-12,sa,62
2025-12,sat,7
2025-12,sd,45
2025-12,si,110
2025-12,ta,115
2025-12,tcy,7
2025-12,te,263
2025-12,ur,1243
2026-01,as,14
2026-01,awa,1
2026-01,bn,320
2026-01,gu,14
2026-01,hi,186
2026-01,kn,13
2026-01,ks,123
2026-01,ml,80
2026-01,mni,2
2026-01,mr,193
2026-01,ne,18
2026-01,new,12
2026-01,or,3
2026-01,pa,84
2026-01,pnb,25
2026-01,sa,3
2026-01,sat,2
2026-01,sd,31
2026-01,si,16
2026-01,ta,119
2026-01,tcy,3
2026-01,te,832
2026-01,ur,964
2026-02,as,23
2026-02,bn,966
2026-02,dv,1
2026-02,gu,20
2026-02,hi,240
2026-02,kn,55
2026-02,ks,153
2026-02,ml,73
2026-02,mni,1
2026-02,mr,51
2026-02,ne,12
2026-02,new,2
2026-02,or,4
2026-02,pa,148
2026-02,pnb,1
2026-02,sat,6
2026-02,sd,68
2026-02,si,5
2026-02,ta,176
2026-02,tcy,50
2026-02,te,394
2026-02,ur,1034
2026-03,as,21
2026-03,bn,1033
2026-03,dv,2
2026-03,gu,6
2026-03,hi,166
2026-03,kn,43
2026-03,ks,123
2026-03,mai,2
2026-03,ml,158
2026-03,mni,2
2026-03,mr,135
2026-03,ne,29
2026-03,new,2
2026-03,or,5
2026-03,pa,113
2026-03,pi,1
2026-03,pnb,2
2026-03,sa,3
2026-03,sat,8
2026-03,sd,115
2026-03,si,6
2026-03,ta,378
2026-03,tcy,245
2026-03,te,878
2026-03,ur,1922
2026-04,as,3
2026-04,bn,140
2026-04,bpy,2
2026-04,dv,1
2026-04,gom,1
2026-04,gu,3
2026-04,hi,150
2026-04,kn,8
2026-04,ks,149
2026-04,mai,4
2026-04,ml,29
2026-04,mr,61
2026-04,ne,17
2026-04,or,3
2026-04,pa,102
2026-04,sa,5
2026-04,sat,1
2026-04,sd,47
2026-04,si,5
2026-04,ta,248
2026-04,tcy,4
2026-04,te,251
2026-04,ur,590
2026-05,anp,1
2026-05,as,8
2026-05,bn,174
2026-05,dv,2
2026-05,gu,5
2026-05,hi,168
2026-05,kn,17
2026-05,ks,122
2026-05,mai,1
2026-05,ml,42
2026-05,mr,101
2026-05,ne,57
2026-05,new,1
2026-05,or,2
2026-05,pa,117
2026-05,pnb,2
2026-05,sa,4
2026-05,sat,2
2026-05,sd,68
2026-05,si,98
2026-05,ta,514
2026-05,te,404
2026-05,ur,901
2026-06,as,19
2026-06,bn,512
2026-06,gu,4
2026-06,hi,154
2026-06,kn,12
2026-06,ks,222
2026-06,mai,4
2026-06,ml,50
2026-06,mni,2
2026-06,mr,101
2026-06,ne,37
2026-06,or,1
2026-06,pa,135
2026-06,pnb,1
2026-06,sa,4
2026-06,sd,112
2026-06,si,175
2026-06,ta,364
2026-06,tcy,5
2026-06,te,292
2026-06,ur,1075
2026-07,as,9
2026-07,awa,68
2026-07,bn,489
2026-07,gom,2
2026-07,gu,24
2026-07,hi,158
2026-07,kn,20
2026-07,ks,249
2026-07,ml,48
2026-07,mni,2
2026-07,mr,62
2026-07,ne,29
2026-07,new,2
2026-07,or,3
2026-07,pa,50
2026-07,pnb,16
2026-07,sa,3
2026-07,sat,2
2026-07,sd,73
2026-07,si,25
2026-07,ta,181
2026-07,tcy,21
2026-07,te,820
2026-07,ur,893
2026-08,anp,1
2026-08,as,6
2026-08,awa,6
2026-08,bn,423
2026-08,gu,1
2026-08,hi,58
2026-08,kn,25
2026-08,ks,164
2026-08,mai,1
2026-08,ml,77
2026-08,mni,1
2026-08,mr,32
2026-08,ne,16
2026-08,new,3
2026-08,pa,18
2026-08,pnb,7
2026-08,sa,8
2026-08,sd,41
2026-08,si,10
2026-08,ta,68
2026-08,tcy,16
2026-08,te,332
2026-08,ur,649
